bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,sqft_above,sqft_basement,city,zipcode,log_sqft_lot,was_renovated,age,price
3.0,2.0,1730,1.0,0,0,3,1370,360,15,15,9.105090961257085,0,36,430000.0
2.0,2.0,1680,2.0,0,0,4,1680,0,1,1,8.65817178467581,0,104,210000.0
3.0,1.0,1270,1.0,0,0,4,1270,0,31,34,8.931551966694522,1,56,276900.0
3.0,2.5,1800,2.0,0,0,3,1800,0,18,22,8.517593111437565,0,18,515000.0
1.0,0.75,560,1.0,0,0,3,560,0,7,10,9.402694764470512,1,47,299000.0
5.0,4.75,3830,1.0,0,0,3,2130,1700,41,44,10.463131911491967,0,38,480000.0
7.0,2.5,1940,2.0,0,0,3,1940,0,1,45,8.605020901781758,0,20,280000.0
2.0,1.0,910,1.0,0,0,3,910,0,34,54,8.853808274977197,1,62,389000.0
4.0,2.5,3020,2.0,0,0,4,3020,0,9,26,9.02437217426203,0,20,490000.0
4.0,2.5,3070,2.0,0,0,3,3070,0,24,37,8.998013113095823,0,9,804100.0
4.0,2.5,2230,1.0,0,0,5,1450,780,15,43,9.251002353695073,0,40,544500.0
4.0,1.75,1540,1.0,0,0,5,770,770,34,61,8.54110501146255,0,71,395000.0
4.0,1.75,1530,1.5,0,0,3,1530,0,31,36,9.779340559793246,1,46,302000.0
4.0,1.75,1880,1.5,0,0,4,1880,0,34,52,8.221747728346623,0,90,860000.0
3.0,2.25,1660,2.0,0,0,3,1660,0,11,11,8.542665987389269,0,13,300000.0
4.0,2.25,2110,2.0,0,0,4,2110,0,15,15,9.277905558138606,0,35,565000.0
3.0,1.0,1100,1.0,0,0,3,1100,0,14,13,9.054972284742485,1,53,199990.0
3.0,2.5,3490,2.0,1,4,4,2150,1340,34,60,9.029297996680608,1,75,1675000.0
3.0,1.5,2000,1.0,0,0,3,2000,0,34,70,8.902591637374087,0,61,560000.0
3.0,2.25,2120,1.0,0,0,3,2120,0,1,1,9.479680250180099,0,17,340000.0
2.0,1.0,740,1.0,0,0,4,740,0,34,62,8.698847859222488,1,65,304700.0
4.0,2.5,2750,2.0,0,0,3,1960,790,34,47,8.476579508530941,1,109,1030000.0
6.0,3.0,4050,2.0,0,0,4,2620,1430,15,15,10.496040617860372,0,44,670000.0
5.0,2.75,2660,1.0,0,4,5,1470,1190,3,5,9.075436609511382,0,45,1100000.0
2.0,1.0,1260,1.5,0,0,5,1260,0,34,54,8.314097335405807,0,88,435000.0
3.0,1.75,1520,1.0,0,0,3,790,730,34,54,8.761080103868347,1,66,438000.0
3.0,1.75,1540,1.0,0,2,3,770,770,34,56,8.006700845440367,1,94,512031.0
4.0,1.0,1600,1.0,0,0,4,1600,0,1,1,9.228573140237243,0,48,154950.0
3.0,2.0,1430,1.0,0,0,5,1430,0,35,67,8.699681400989514,0,69,352450.0
7.0,3.5,2870,1.0,0,0,3,1520,1350,34,60,10.298902324790792,1,53,475000.0
4.0,2.0,1580,1.0,0,0,3,1040,540,14,2,8.987321812850125,1,47,245000.0
4.0,2.5,3200,2.0,0,0,3,3200,0,34,48,8.927446816256198,0,8,1255000.0
3.0,1.5,1220,1.0,0,0,3,1220,0,31,35,8.699681400989514,1,46,177500.0
2.0,1.0,790,1.0,0,0,4,790,0,34,57,8.564267598802166,1,89,299800.0
