bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,sqft_above,sqft_basement,city,x,y,z,zipcode,log_sqft_lot,was_renovated,age,price
3.0,2.0,1730,1.0,0,0,3,1370,360,600900.6933288985,-0.35833613801128483,-0.5724273913590595,0.7375107414926373,574395.9700867486,9.105090961257085,0,36,430000.0
2.0,2.0,1680,2.0,0,0,4,1680,0,316252.5191406243,-0.3615474560974047,-0.573643771590147,0.7349940546054277,315564.30528390774,8.65817178467581,0,104,210000.0
3.0,1.0,1270,1.0,0,0,4,1270,0,383118.7148705018,-0.3597073627295943,-0.5717605379966617,0.7373604955433184,407899.73157893785,8.931551966694522,1,56,276900.0
3.0,2.5,1800,2.0,0,0,3,1800,0,669649.6619138028,-0.35886241180881123,-0.5691588997117754,0.7397809920980969,523348.84636668535,8.517593111437565,0,18,515000.0
1.0,0.75,560,1.0,0,0,3,560,0,504080.34374227835,-0.3553718480709839,-0.5719252841559943,0.7393323467438029,504080.34374227835,9.402694764470512,1,47,299000.0
5.0,4.75,3830,1.0,0,0,3,2130,1700,606306.1674573087,-0.3570136486725291,-0.5696130743719144,0.740325739229769,650412.6043845192,10.463131911491967,0,38,480000.0
7.0,2.5,1940,2.0,0,0,3,1940,0,316252.5191406243,-0.3610160216614325,-0.5737885586237589,0.7351422461647958,379874.92361722596,8.605020901781758,0,20,280000.0
2.0,1.0,910,1.0,0,0,3,910,0,570921.3700843812,-0.35968829743760883,-0.5688286430050755,0.7396338983466338,595514.472632154,8.853808274977197,1,62,389000.0
4.0,2.5,3020,2.0,0,0,4,3020,0,370858.83046169276,-0.3602177391674648,-0.5736183368551924,0.7356664896626481,352965.5354258385,9.02437217426203,0,20,490000.0
4.0,2.5,3070,2.0,0,0,3,3070,0,650482.4972374236,-0.35933237779903,-0.5715006207037387,0.737744727395958,511917.77449054894,8.998013113095823,0,9,804100.0
4.0,2.5,2230,1.0,0,0,5,1450,780,600900.6933288985,-0.35745563367352623,-0.5720379151267092,0.738239861842034,728815.1222688869,9.251002353695073,0,40,544500.0
4.0,1.75,1540,1.0,0,0,5,770,770,570921.3700843812,-0.3614710181124689,-0.5701925420148453,0.7377121173570244,444596.63870552,8.54110501146255,0,71,395000.0
4.0,1.75,1530,1.5,0,0,3,1530,0,383118.7148705018,-0.35986113251688767,-0.5724467106668691,0.7367528274464543,369130.20940281975,9.779340559793246,1,46,302000.0
4.0,1.75,1880,1.5,0,0,4,1880,0,570921.3700843812,-0.3605803663627522,-0.5691352878384731,0.7389633438342674,863421.6640575667,8.221747728346623,0,90,860000.0
3.0,2.25,1660,2.0,0,0,3,1660,0,431949.4164202884,-0.35592349239480586,-0.5706097271810995,0.7400829869917831,431949.4164202884,8.542665987389269,0,13,300000.0
4.0,2.25,2110,2.0,0,0,4,2110,0,600900.6933288985,-0.35840570532673616,-0.5717549387522434,0.737998401354409,574395.9700867486,9.277905558138606,0,35,565000.0
3.0,1.0,1100,1.0,0,0,3,1100,0,312599.218230847,-0.3625574229361514,-0.5726697728217262,0.7352560413694057,321879.98856389115,9.054972284742485,1,53,199990.0
3.0,2.5,3490,2.0,1,4,4,2150,1340,570921.3700843812,-0.3605289444074473,-0.5694836923615906,0.7387188423795562,474543.2178914028,9.029297996680608,1,75,1675000.0
3.0,1.5,2000,1.0,0,0,3,2000,0,570921.3700843812,-0.3602601400288843,-0.5683787190723081,0.7397014689806226,733814.6171307225,8.902591637374087,0,61,560000.0
3.0,2.25,2120,1.0,0,0,3,2120,0,316252.5191406243,-0.36159382073983565,-0.5737701478359958,0.7348725918518305,315564.30528390774,9.479680250180099,0,17,340000.0
2.0,1.0,740,1.0,0,0,4,740,0,570921.3700843812,-0.3597921952000516,-0.5683217223959391,0.7399729698617653,403563.9717036811,8.698847859222488,1,65,304700.0
4.0,2.5,2750,2.0,0,0,3,1960,790,570921.3700843812,-0.36019265599039074,-0.568952949459415,0.7392927646555323,588516.8146220621,8.476579508530941,1,109,1030000.0
6.0,3.0,4050,2.0,0,0,4,2620,1430,600900.6933288985,-0.358353236898906,-0.5731699988932398,0.7369254439716408,574395.9700867486,10.496040617860372,0,44,670000.0
5.0,2.75,2660,1.0,0,4,5,1470,1190,823248.8103435911,-0.3590963552230679,-0.5712355087598815,0.7380649031063241,752510.1852842425,9.075436609511382,0,45,1100000.0
2.0,1.0,1260,1.5,0,0,5,1260,0,570921.3700843812,-0.3599167950939839,-0.5688891887379762,0.7394761602285245,595514.472632154,8.314097335405807,0,88,435000.0
3.0,1.75,1520,1.0,0,0,3,790,730,570921.3700843812,-0.359700396962078,-0.5689027576975247,0.7395710085647456,595514.472632154,8.761080103868347,1,66,438000.0
3.0,1.75,1540,1.0,0,2,3,770,770,570921.3700843812,-0.36038976875764617,-0.5687511433889382,0.7393519807700428,556782.41036685,8.006700845440367,1,94,512031.0
4.0,1.0,1600,1.0,0,0,4,1600,0,316252.5191406243,-0.36163957501299665,-0.5740235424307037,0.7346521561390297,315564.30528390774,9.228573140237243,0,48,154950.0
3.0,2.0,1430,1.0,0,0,5,1430,0,448605.0041017414,-0.35939711852459855,-0.5681579549066496,0.7402906520229128,407040.06294389145,8.699681400989514,0,69,352450.0
