date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,lat,long
2014-05-10 00:00:00,320000.0,3.0,2.5,2130,6969,2.0,0,0,3,2130,0,2003,0,Cedar to Green River Trail,Maple Valley,WA 98038,USA,,
2014-05-12 00:00:00,453246.0,3.0,2.5,2010,2287,2.0,0,0,3,1390,620,2014,0,2500 Mulberry Walk NE,Issaquah,WA 98029,USA,,
2014-05-12 00:00:00,947500.0,3.0,2.75,2980,27144,1.5,1,2,5,2180,800,1917,0,Indian Trail,Burien,WA 98166,USA,,
2014-05-14 00:00:00,405100.0,2.0,1.0,840,3522,1.0,0,0,3,840,0,1947,2012,2901 W Elmore St,Seattle,WA 98199,USA,,
2014-05-14 00:00:00,372977.0,3.0,2.5,1690,1618,2.0,0,0,3,1150,540,2014,0,2500 Mulberry Walk NE,Issaquah,WA 98029,USA,,
2014-05-14 00:00:00,317000.0,3.0,2.5,1840,5011,2.0,0,0,3,1840,0,2012,1912,21560 SE 275th Ct,Maple Valley,WA 98038,USA,,
2014-05-14 00:00:00,364000.0,4.0,1.75,2010,8625,1.0,0,0,4,1340,670,1957,2001,16501-16515 Carlyle Hall Rd N,Shoreline,WA 98133,USA,,
2014-05-14 00:00:00,543000.0,2.0,2.0,2370,217800,1.5,0,0,3,1600,770,1992,0,11400-11598 SE 114th Pl,Issaquah,WA 98027,USA,,
2014-05-15 00:00:00,280000.0,3.0,1.0,1330,20562,1.5,0,0,3,1330,0,1959,1989,13219 424th Ave SE,North Bend,WA 98045,USA,,
2014-05-15 00:00:00,828950.0,4.0,3.5,3930,5680,2.0,0,1,3,2820,1110,2013,1923,19601-19853 Newport Way NW,Issaquah,WA 98027,USA,,
2014-05-19 00:00:00,480000.0,4.0,3.5,3370,435600,2.0,0,3,3,3370,0,2005,0,44250 SE Edgewick Rd,North Bend,WA 98045,USA,,
2014-05-19 00:00:00,386591.0,3.0,2.5,1690,1613,2.0,0,0,3,1150,540,2014,0,2500 Mulberry Walk NE,Issaquah,WA 98029,USA,,
2014-05-19 00:00:00,280000.0,3.0,2.5,1720,1916,2.0,0,0,3,1720,0,2005,0,454 A St,Renton,WA 98056,USA,,
2014-05-20 00:00:00,330000.0,3.0,1.0,1180,43124,1.0,0,0,4,1180,0,1959,0,8442-8514 WA-900,Issaquah,WA 98027,USA,,
2014-05-21 00:00:00,567000.0,3.0,2.5,2540,6093,2.0,0,0,3,2540,0,1999,0,7913-7935 79th Way NE,Kirkland,WA 98034,USA,,
2014-05-21 00:00:00,389999.0,3.0,2.25,1445,1471,2.0,0,0,3,1300,145,2003,0,206 Lingering Pine Dr NW,Issaquah,WA 98027,USA,,
2014-05-21 00:00:00,1550000.0,3.0,2.5,4460,26027,2.0,0,0,3,4460,0,1992,0,126th Ln NE,Kirkland,WA 98033,USA,,
2014-05-23 00:00:00,200000.0,4.0,1.0,1350,11507,1.0,0,0,3,1350,0,1966,1963,19516-19598 108th Ave SE,Renton,WA 98055,USA,,
2014-05-23 00:00:00,445000.0,3.0,2.0,1630,8702,1.0,0,0,3,1630,0,1987,2000,1905 NE 29th Ct,Renton,WA 98056,USA,,
2014-05-27 00:00:00,735000.0,5.0,2.75,3390,5211,2.0,0,0,3,3390,0,2004,2003,Trossachs Blvd SE,Sammamish,WA 98075,USA,,
2014-05-27 00:00:00,830000.0,4.0,2.5,1850,50662,1.0,0,0,3,1430,420,1978,0,5022 Private Rd,Redmond,WA 98052,USA,,
2014-05-27 00:00:00,627000.0,3.0,3.5,2710,3475,2.0,0,0,3,1650,1060,2005,0,Shangri-La Way NW,Issaquah,WA 98027,USA,,
2014-05-28 00:00:00,310000.0,3.0,1.0,1430,19901,1.5,0,0,4,1430,0,1927,0,8308 NE 176th Pl,Kenmore,WA 98028,USA,,
2014-05-29 00:00:00,295000.0,4.0,2.5,2290,4539,2.0,0,0,3,2290,0,2001,0,530 Olympia Ave SE,Renton,WA 98058,USA,,
2014-05-30 00:00:00,1365000.0,3.0,2.5,2090,6000,1.5,0,0,4,2090,0,1928,0,3832 43rd Ave NE,Seattle,WA 98105,USA,,
2014-05-30 00:00:00,322000.0,4.0,2.5,2280,7200,2.0,0,0,3,2280,0,1994,0,10012 SE 244th Ct,Kent,WA 98030,USA,,
2014-05-31 00:00:00,693000.0,3.0,2.5,2460,12028,2.0,0,0,3,2460,0,1996,0,Valley View Trail,Redmond,WA 98052,USA,,
