date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,lat,long
2014-05-09 00:00:00,376000.0,3.0,2.0,1340,1384,3.0,0,0,3,1340,0,2008,0,9245-9249 Fremont Ave N,Seattle,WA 98103,USA,47.696998819819,-122.35007633953
2014-05-09 00:00:00,800000.0,4.0,3.25,3540,159430,2.0,0,0,3,3540,0,2007,0,33001 NE 24th St,Carnation,WA 98014,USA,47.629478440808,-121.898818228586
2014-05-09 00:00:00,2238888.0,5.0,6.5,7270,130017,2.0,0,0,3,6420,850,2010,0,7070 270th Pl SE,Issaquah,WA 98029,USA,47.538361895965,-121.980874399272
2014-05-09 00:00:00,324000.0,3.0,2.25,998,904,2.0,0,0,3,798,200,2007,0,820 NW 95th St,Seattle,WA 98117,USA,47.697920850091,-122.366360283855
2014-05-10 00:00:00,549900.0,5.0,2.75,3060,7015,1.0,0,0,5,1600,1460,1979,0,10834 31st Ave SW,Seattle,WA 98146,USA,47.505311204468,-122.372136651075
2014-05-10 00:00:00,875000.0,4.0,2.0,2520,6000,1.0,0,0,3,1400,1120,1921,2007,6521 Fremont Ave N,Seattle,WA 98103,USA,47.676266689415,-122.350041473239
2014-05-10 00:00:00,265000.0,4.0,1.0,1940,9533,1.0,0,0,3,1080,860,1962,2003,9908 S 210th Pl,Kent,WA 98031,USA,47.413743675793,-122.208381890011
2014-05-10 00:00:00,394950.0,3.0,2.5,1350,1250,3.0,0,0,3,1270,80,2006,0,5940 California Ave SW,Seattle,WA 98136,USA,47.549547349362,-122.387030093565
2014-05-11 00:00:00,842500.0,4.0,2.5,2160,5298,2.5,0,0,4,2160,0,1902,0,906 17th Ave,Seattle,WA 98122,USA,47.610450511346,-122.310097468604
2014-05-11 00:00:00,368000.0,3.0,2.5,1370,1350,2.0,0,0,3,1010,360,2007,0,5411 Fauntleroy Way SW,Seattle,WA 98136,USA,47.552834122762,-122.381708754626
2014-05-12 00:00:00,1225000.0,4.0,4.5,5420,101930,1.0,0,0,3,3890,1530,2001,0,25005 NE Patterson Way,Redmond,WA 98053,USA,47.656518883527,-122.005848450267
2014-05-12 00:00:00,885000.0,4.0,2.5,2830,5000,2.0,0,0,3,2830,0,1995,0,3503 NE 43rd St,Seattle,WA 98105,USA,47.659805102815,-122.290068016787
2014-05-12 00:00:00,927000.0,4.0,2.75,3300,12090,2.0,0,0,3,3300,0,1953,0,9155 NE 21st Pl,Clyde Hill,WA 98004,USA,47.629626732216,-122.218391813534
2014-05-12 00:00:00,490000.0,2.0,2.5,1230,1391,2.0,0,0,3,870,360,2004,2003,106 24th Ave E,Seattle,WA 98112,USA,47.619187494404,-122.301093606879
2014-05-12 00:00:00,341000.0,3.0,1.5,1720,7119,1.5,0,0,4,1720,0,1952,0,17050 14th Avenue Northeast,Shoreline,WA 98155,USA,47.752885612768,-122.31397652411
2014-05-12 00:00:00,235000.0,1.0,1.0,810,2451,1.0,0,0,5,810,0,1941,0,9413 34th Ave SW,Seattle,WA 98126,USA,47.519107673383,-122.375549732728
