price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,longitude,latitude,has_basement,was_renovated,age
280.5970149253731,3.0,2.0,1340,1384,3.0,0,0,3,1340,-122.35007633953,47.696998819819,0,0,6
225.98870056497177,4.0,3.25,3540,159430,2.0,0,0,3,3540,-121.898818228586,47.629478440808,0,0,7
307.96258596973865,5.0,6.5,7270,130017,2.0,0,0,3,6420,-121.980874399272,47.538361895965,1,0,4
324.6492985971944,3.0,2.25,998,904,2.0,0,0,3,798,-122.366360283855,47.697920850091,1,0,7
179.7058823529412,5.0,2.75,3060,7015,1.0,0,0,5,1600,-122.372136651075,47.505311204468,1,0,35
150.23474178403757,3.0,2.5,2130,6969,2.0,0,0,3,2130,-122.02979429752082,47.36797034332757,0,0,11
347.22222222222223,4.0,2.0,2520,6000,1.0,0,0,3,1400,-122.350041473239,47.676266689415,1,1,93
136.5979381443299,4.0,1.0,1940,9533,1.0,0,0,3,1080,-122.208381890011,47.413743675793,1,1,52
292.55555555555554,3.0,2.5,1350,1250,3.0,0,0,3,1270,-122.387030093565,47.549547349362,1,0,8
390.0462962962963,4.0,2.5,2160,5298,2.5,0,0,4,2160,-122.310097468604,47.610450511346,0,0,112
268.6131386861314,3.0,2.5,1370,1350,2.0,0,0,3,1010,-122.381708754626,47.552834122762,1,0,7
226.01476014760146,4.0,4.5,5420,101930,1.0,0,0,3,3890,-122.005848450267,47.656518883527,1,0,13
312.7208480565371,4.0,2.5,2830,5000,2.0,0,0,3,2830,-122.290068016787,47.659805102815,0,0,19
225.4955223880597,3.0,2.5,2010,2287,2.0,0,0,3,1390,-122.0061070989515,47.558592810481265,1,0,0
280.90909090909093,4.0,2.75,3300,12090,2.0,0,0,3,3300,-122.218391813534,47.629626732216,0,0,61
398.3739837398374,2.0,2.5,1230,1391,2.0,0,0,3,870,-122.301093606879,47.619187494404,1,1,10
198.25581395348837,3.0,1.5,1720,7119,1.5,0,0,4,1720,-122.31397652411,47.752885612768,0,0,62
290.12345679012344,1.0,1.0,810,2451,1.0,0,0,5,810,-122.375549732728,47.519107673383,0,0,73
769.2307692307693,3.0,1.75,1560,8078,1.5,1,4,4,1560,-122.245140662265,47.577560540968,0,0,86
218.75,3.0,2.0,2560,216777,1.0,0,0,3,2560,-122.086202064208,47.295558997243,0,0,28
191.48936170212767,4.0,3.25,4700,38412,2.0,0,0,3,3420,-122.165957588719,47.644606303245,1,0,36
209.01639344262296,2.0,1.0,1220,2500,1.0,0,0,3,770,-122.371539913573,47.57280287119,1,1,104
431.5068493150685,5.0,2.75,3650,20150,1.0,0,0,4,2360,-122.224591109906,47.621185212684,1,0,39
403.98617511520735,3.0,3.25,2170,12508,1.5,0,0,5,1650,-122.228899916724,47.566616309921,1,1,86
212.5984251968504,4.0,2.25,2540,228254,1.0,0,0,3,1450,-121.914053366084,47.720934673665,1,1,24
384.61538461538464,2.0,1.0,910,4500,1.5,0,0,4,910,-122.289120546865,47.563722779141,0,1,108
251.6778523489933,4.0,2.5,2980,4930,2.0,0,0,3,2890,-122.119987706146,47.544319255752,1,0,14
274.52830188679246,4.0,1.75,2120,4650,1.0,0,1,3,1190,-122.399646107667,47.696084593534,1,1,63
380.0578034682081,4.0,3.5,3460,3997,2.0,0,0,3,2560,-122.32964499215,47.671634943306,1,1,10
150.2016129032258,5.0,3.0,2480,10090,1.0,0,0,3,1300,-122.262604968098,47.496443547306,1,1,10
186.36363636363637,3.0,2.25,2200,16921,2.0,0,0,3,2200,-122.048870087165,47.372823069248,0,1,27
208.09248554913296,4.0,2.0,1730,5500,1.0,0,0,5,1010,-122.352859691512,47.531156219124,1,0,71
347.6027397260274,3.0,2.5,2920,34527,1.0,0,4,4,1800,-122.399224962357,47.579859701126,1,1,60
227.27272727272728,3.0,1.0,990,8012,1.0,0,0,4,990,-122.180532681961,47.455629536248,0,0,48
212.82894736842104,4.0,2.5,3040,6887,2.0,0,0,3,3040,-122.015153008372,47.606992130656,0,0,15
209.7130242825607,5.0,3.0,4530,258746,1.5,0,0,4,3200,-122.066973211232,47.771057969219,1,0,11
135.03649635036496,3.0,1.5,1370,8470,1.0,0,0,4,1370,-122.192675088516,47.287441223896,0,1,53
172.68041237113403,3.0,2.5,1940,4927,2.0,0,0,3,1940,-122.119790527291,47.448180200794,0,1,10
201.92307692307693,3.0,2.5,1040,2643,2.0,0,0,3,720,-122.268635687405,47.516783009762,1,1,10
290.0,4.0,2.25,1800,8623,1.0,0,0,4,1360,-122.184217626816,47.692176860808,1,0,34
447.6744186046512,3.0,1.75,1720,5000,1.0,0,0,3,1720,-122.290202625909,47.615429210205,0,1,60
510.1530612244898,3.0,1.0,980,6380,1.0,0,0,3,760,-122.309164071292,47.69207770061,1,1,73
241.47909967845658,4.0,2.5,3110,6142,2.0,0,0,3,3110,-122.11107248017,47.703229885958,0,1,10
157.14285714285714,5.0,3.0,2100,7715,1.0,0,0,3,1250,-122.31939405777,47.486701767179,1,1,1
230.1980198019802,3.0,1.5,2020,11358,1.0,0,0,4,1190,-122.185398662292,47.664049328668,1,0,58
361.70212765957444,4.0,1.75,2350,11914,1.0,0,0,4,2350,-122.229145091054,47.53916464396,0,1,53
287.9939209726444,4.0,2.25,3290,12329,1.5,0,0,4,3290,-122.216129223799,47.563737668646,0,0,46
138.5321100917431,5.0,2.25,2180,7813,2.0,0,0,3,2180,-122.051019268063,47.365116079974,0,0,28
387.5968992248062,2.0,2.25,1290,1334,3.0,0,0,3,1290,-122.382039495755,47.671692681167,0,0,7
137.67123287671234,3.0,1.0,1460,9750,1.0,0,0,4,1460,-122.144129679624,47.324644559773,0,0,45
205.42635658914728,2.0,1.0,1290,2828,2.0,0,0,3,1290,-122.02511756158,47.696922049236,0,0,6
370.3404255319149,4.0,2.5,2350,3150,1.5,0,0,4,1690,-122.334912352869,47.66045939633,1,0,104
313.8888888888889,3.0,1.0,1080,8100,1.0,0,0,4,1080,-122.307457763164,47.776368446615,0,1,59
258.4269662921348,4.0,2.5,2670,13463,2.0,0,0,4,2670,-122.01894576413,47.562961570554,0,0,25
214.1304347826087,4.0,3.25,3680,5759,2.0,0,0,3,2840,-122.067416740328,47.536797010248,1,0,11
218.94097222222223,3.0,1.75,1440,8040,1.0,0,0,3,960,-122.305841403242,47.712327771683,1,1,63
260.30927835051546,4.0,1.75,1940,4800,1.0,0,0,5,1030,-122.314085925583,47.605462765178,1,1,92
287.5,3.0,1.0,1280,9898,1.0,0,0,3,1280,-122.163568261917,47.767490071644,0,1,46
317.9530201342282,3.0,2.75,2980,27144,1.5,1,2,5,2180,-122.35204515295231,47.45636699149643,1,0,97
160.82474226804123,3.0,1.0,970,8580,1.0,0,0,3,970,-122.310808723083,47.336630331456,0,1,55
289.09952606635073,4.0,3.0,2110,5000,1.5,0,2,4,1640,-122.390892000717,47.519546699353,1,0,84
283.7837837837838,2.0,2.5,1480,1369,3.0,0,0,3,1480,-122.120486433134,47.675518154387,0,0,5
274.2857142857143,2.0,1.0,700,10540,1.0,0,0,3,700,-122.335687099766,47.437728688393,0,0,61
337.037037037037,3.0,2.0,2700,6120,1.0,0,0,4,1350,-122.327810427125,47.672912755893,1,0,52
557.9399141630902,4.0,3.25,2330,9687,2.0,0,3,3,2330,-122.283684801948,47.626045472876,0,0,96
398.3431952662722,5.0,1.75,3380,20021,1.0,0,0,4,1690,-122.211779095877,47.639303653128,1,0,51
323.0769230769231,4.0,2.75,2600,2750,1.5,0,0,3,1620,-122.356993232052,47.640601495241,1,0,78
220.58823529411765,2.0,1.75,1360,8100,1.0,0,0,3,860,-122.359511823253,47.72896453171,1,0,39
181.6546762589928,4.0,2.5,2780,6369,1.0,0,0,3,1590,-122.216474189891,47.728378069937,1,0,36
88.0,3.0,1.0,1250,53143,1.0,0,0,5,1250,-122.051243009793,47.424078246789,0,0,69
284.7328244274809,3.0,2.5,2620,8950,2.0,0,0,3,2620,-122.119457640438,47.551881675018,0,0,22
156.2962962962963,3.0,1.5,1350,7620,1.0,0,0,5,1350,-122.349979171207,47.457457273624,0,0,73
281.25,4.0,3.0,2400,3340,1.0,0,0,4,1200,-122.364267421424,47.664438679592,1,0,50
266.0144927536232,4.0,2.5,2760,5000,1.5,0,0,5,1680,-122.370849680894,47.6724126799,1,1,86
399.0228013029316,4.0,2.25,3070,16028,1.0,0,3,3,1870,-122.228098051143,47.52652532862,1,0,38
301.47058823529414,2.0,1.75,2040,28593,1.5,1,3,4,2040,-122.465847992078,47.397826712291,0,1,95
355.93220338983053,4.0,2.0,1770,6000,2.0,0,0,5,1770,-122.401005609316,47.648843635247,0,1,103
362.1776504297994,4.0,3.75,3490,9170,2.0,0,0,3,3490,-122.201390431535,47.599028363947,0,1,2
363.2530120481928,2.0,1.5,830,1333,2.0,0,0,3,830,-122.381583046059,47.551594494633,0,0,9
376.53061224489795,2.0,2.5,980,895,2.0,0,0,3,670,-122.38619850244,47.587890735029,1,0,5
404.45859872611464,3.0,2.5,1570,1433,3.0,0,0,3,1570,-122.336135266965,47.685602161799,0,0,4
316.17370030581037,4.0,3.25,3270,5187,2.0,0,0,3,3110,-122.132832977954,47.696125095455,1,0,0
177.3148148148148,4.0,2.5,2160,6223,2.0,0,0,3,2160,-122.042226269923,47.349279423422,0,0,4
320.1219512195122,4.0,3.75,3280,11000,2.0,0,0,3,2320,-122.200680661569,47.685545119607,1,0,6
135.41666666666666,4.0,2.5,3360,7685,2.0,0,0,3,3360,-122.11102195105,47.437238373774,0,0,13
260.2857142857143,5.0,2.75,3150,7119,2.0,0,0,3,3150,-122.150717140647,47.676842453639,0,1,1
345.30386740331494,3.0,3.5,1810,1846,2.0,0,0,4,1440,-122.304945886373,47.607110912492,1,0,5
237.5912408759124,4.0,2.5,2740,7140,2.0,0,0,3,2740,-122.021294046325,47.633212247152,0,0,21
125.32637075718016,5.0,4.75,3830,35000,1.0,0,0,3,2130,-122.078054056685,47.759170949472,1,0,38
237.3040752351097,3.0,3.25,3190,5283,2.0,0,0,3,3190,-122.001931223029,47.553579854612,0,0,7
